"Comparison"	"GeneID"	"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"Ctrl_Res_Sens"	11074	"TRIM31"	-1.80195984181008	6.49746947640293	-3.238681417293	0.00159511859498381	0.0348214915726746
"Ctrl_Res_Sens"	27293	"SMPDL3B"	-1.29037752500181	4.34641464783033	-3.23404058677256	0.00161891659727577	0.0352827803383214
"Ctrl_Res_Sens"	9424	"KCNK6"	-1.69914924645609	3.71099673757725	-3.22605947572039	0.0016606198320545	0.0360136717348345
"Ctrl_Res_Sens"	10426	"TUBGCP3"	1.15077196031417	4.58226753745633	3.22302906135291	0.00167671533731063	0.0362520187383609
"Ctrl_Res_Sens"	91283	"MSANTD3"	1.20620021404577	3.40935987128045	3.22295867665354	0.00167709089635474	0.0362520187383609
"Ctrl_Res_Sens"	5547	"PRCP"	1.13177176074555	6.13378740170555	3.22144082642297	0.00168520896377973	0.0363550957936864
"Ctrl_Res_Sens"	5359	"PLSCR1"	-1.26522379893973	5.22094879452513	-3.22104058359503	0.00168735571980675	0.0363550957936864
"Ctrl_Res_Sens"	83604	"TMEM47"	3.64455559595805	1.69308664055525	3.22013176073364	0.00169223978722369	0.0364010408864751
"Ctrl_Res_Sens"	7168	"TPM1"	-1.04133341659431	7.17149026518671	-3.21589857364263	0.00171516339587704	0.0368342476689242
"Ctrl_Res_Sens"	64067	"NPAS3"	3.89122177658172	-0.93111233267595	3.213336605774	0.00172917730180105	0.0370150267403335
"Ctrl_Res_Sens"	100505832	"PROX1-AS1"	3.28323974747566	-0.210748175752595	3.21068284543555	0.00174380581629809	0.0372124978935821
"Ctrl_Res_Sens"	221545	"C6orf136"	-1.15442139182422	3.93292927604833	-3.21064266812898	0.00174402817250139	0.0372124978935821
"Ctrl_Res_Sens"	55258	"THNSL2"	1.74312878365255	2.73117622466564	3.2061472989374	0.00176907481758293	0.037686136492439
